LOC128754228	XM_053856742.1#LOC128754228
LOC128770994	XM_053886061.1#LOC128770994
LOC128752349	XM_053853476.1#LOC128752349
LOC128752349	XM_053853475.1#LOC128752349
LOC128752349	XM_053853473.1#LOC128752349
LOC128752349	XM_053853477.1#LOC128752349
LOC128752349	XM_053853479.1#LOC128752349
LOC128752349	XM_053853478.1#LOC128752349
LOC128758433	XM_053864328.1#LOC128758433
LOC128758433	XM_053864309.1#LOC128758433
LOC128758433	XM_053864356.1#LOC128758433
LOC128758433	XM_053864337.1#LOC128758433
LOC128758433	XM_053864319.1#LOC128758433
LOC128758433	XM_053864301.1#LOC128758433
LOC128758433	XM_053864346.1#LOC128758433
LOC128758433	XM_053864366.1#LOC128758433
LOC128758433	XM_053864386.1#LOC128758433
LOC128758433	XM_053864376.1#LOC128758433
LOC128758433	XM_053864397.1#LOC128758433
LOC128771803	XM_053887572.1#LOC128771803
LOC128771908	XM_053887776.1#LOC128771908
LOC128752888	XM_053854604.1#LOC128752888
LOC128747492	XM_053845416.1#LOC128747492
LOC128758141	XM_053864032.1#LOC128758141
LOC128758141	XM_053864023.1#LOC128758141
LOC128758141	XM_053864010.1#LOC128758141
LOC128758141	XM_053864001.1#LOC128758141
LOC128758141	XM_053864039.1#LOC128758141
LOC128758165	XM_053864057.1#LOC128758165
glrx2	XM_053864254.1#glrx2
glrx2	XM_053864245.1#glrx2
glrx2	XM_053864256.1#glrx2
glrx2	XM_053864257.1#glrx2
uchl5	XM_053864122.1#uchl5
uchl5	XM_053864115.1#uchl5
LOC128758250	XM_053864230.1#LOC128758250
LOC128758175	XM_053864073.1#LOC128758175
LOC128758175	XM_053864081.1#LOC128758175
LOC128748380	XM_053847088.1#LOC128748380
LOC128764554	XM_053874362.1#LOC128764554
fetub	XM_053847295.1#fetub
si:ch211-284e20.8	XM_053850648.1#si:ch211-284e20.8
si:ch211-284e20.8	XM_053850656.1#si:ch211-284e20.8
LOC128749771	XM_053849720.1#LOC128749771
LOC128749656	XM_053849524.1#LOC128749656
LOC128749656	XM_053849599.1#LOC128749656
pycr3	XM_053850222.1#pycr3
pycr3	XM_053850051.1#pycr3
pycr3	XM_053849973.1#pycr3
pycr3	XM_053850138.1#pycr3
LOC128750537	XM_053850767.1#LOC128750537
LOC128750108	XM_053850440.1#LOC128750108
LOC128750108	XM_053850535.1#LOC128750108
LOC128750108	XM_053850357.1#LOC128750108
LOC128750108	XM_053850622.1#LOC128750108
LOC128749851	XM_053849849.1#LOC128749851
gmds	XM_053853141.1#gmds
LOC128748765	XM_053847743.1#LOC128748765
LOC128752833	XM_053854493.1#LOC128752833
LOC128754688	XM_053857562.1#LOC128754688
LOC128754688	XM_053857556.1#LOC128754688
LOC128754688	XM_053857548.1#LOC128754688
LOC128754688	XM_053857539.1#LOC128754688
LOC128754688	XM_053857528.1#LOC128754688
LOC128754688	XM_053857580.1#LOC128754688
LOC128754688	XM_053857568.1#LOC128754688
ninj2	XM_053857630.1#ninj2
ninj2	XM_053857620.1#ninj2
ninj2	XM_053857638.1#ninj2
ninj2	XM_053857654.1#ninj2
ninj2	XM_053857646.1#ninj2
ninj2	XM_053857663.1#ninj2
LOC128749140	XM_053848423.1#LOC128749140
wnt5b	XM_053867753.1#wnt5b
wnt5b	XM_053867742.1#wnt5b
adipor2	XM_053867781.1#adipor2
adipor2	XM_053867774.1#adipor2
adipor2	XM_053867765.1#adipor2
lrrc17	XM_053850052.1#lrrc17
LOC128749975	XM_053850047.1#LOC128749975
LOC128749975	XM_053850040.1#LOC128749975
LOC128749959	XM_053850006.1#LOC128749959
LOC128749959	XM_053850017.1#LOC128749959
LOC128749959	XM_053849998.1#LOC128749959
LOC128749959	XM_053850026.1#LOC128749959
LOC128752483	XM_053853736.1#LOC128752483
LOC128752483	XM_053853735.1#LOC128752483
pus7l	XM_053853731.1#pus7l
pus7l	XM_053853732.1#pus7l
pus7l	XM_053853733.1#pus7l
pphln1	XM_053853734.1#pphln1
zcrb1	XM_053853737.1#zcrb1
zcrb1	XM_053853738.1#zcrb1
zcrb1	XM_053853739.1#zcrb1
zcrb1	XM_053853740.1#zcrb1
zcrb1	XM_053853741.1#zcrb1
yaf2	XM_053853743.1#yaf2
smc5	XM_053853730.1#smc5
LOC128746513	XM_053843613.1#LOC128746513
LOC128746521	XM_053843625.1#LOC128746521
exoc2	XM_053859125.1#exoc2
exoc2	XM_053859145.1#exoc2
exoc2	XM_053859154.1#exoc2
exoc2	XM_053859135.1#exoc2
exoc2	XM_053859167.1#exoc2
exoc2	XM_053859160.1#exoc2
LOC128755516	XM_053859177.1#LOC128755516
psmg4	XM_053859196.1#psmg4
LOC128750149	XM_053850434.1#LOC128750149
tbc1d7	XM_053850455.1#tbc1d7
tbc1d7	XM_053850445.1#tbc1d7
LOC128746757	XM_053844052.1#LOC128746757
naprt	XM_053854188.1#naprt
c1h8orf82	XM_053854190.1#c1h8orf82
c1h8orf82	XM_053854189.1#c1h8orf82
si:ch211-191a24.4	XM_053859111.1#si:ch211-191a24.4
LOC128755467	XM_053859023.1#LOC128755467
LOC128755467	XM_053859014.1#LOC128755467
LOC128755467	XM_053859053.1#LOC128755467
LOC128755467	XM_053859043.1#LOC128755467
LOC128755467	XM_053859033.1#LOC128755467
LOC128755467	XM_053859062.1#LOC128755467
orc1	XM_053859086.1#orc1
orc1	XM_053859076.1#orc1
orc1	XM_053859096.1#orc1
prpf38a	XM_053854615.1#prpf38a
trmt1l	XM_053854579.1#trmt1l
trmt1l	XM_053854571.1#trmt1l
trmt1l	XM_053854589.1#trmt1l
niban1a	XM_053854559.1#niban1a
niban1a	XM_053854542.1#niban1a
niban1a	XM_053854551.1#niban1a
kifap3a	XM_053854519.1#kifap3a
kifap3a	XM_053854529.1#kifap3a
LOC128752884	XM_053854602.1#LOC128752884
ntmt2	XM_053853382.1#ntmt2
gorab	XM_053876694.1#gorab
prrx1b	XM_053877811.1#prrx1b
pde4dip	XM_053857222.1#pde4dip
pde4dip	XM_053857254.1#pde4dip
pde4dip	XM_053857214.1#pde4dip
pde4dip	XM_053857191.1#pde4dip
pde4dip	XM_053857199.1#pde4dip
pde4dip	XM_053857248.1#pde4dip
pde4dip	XM_053857230.1#pde4dip
pde4dip	XM_053857182.1#pde4dip
pde4dip	XM_053857238.1#pde4dip
pde4dip	XM_053857140.1#pde4dip
pde4dip	XM_053857207.1#pde4dip
