LOC135892157	XM_065419858.1#LOC135892157
GOLGB1	XM_065400653.1#GOLGB1
LOC135875697	XM_065400665.1#LOC135875697
HCLS1	XM_065415209.1#HCLS1
LOC135891220	XM_065418724.1#LOC135891220
LOC135892566	XM_065420367.1#LOC135892566
NME6	XM_065413011.1#NME6
NME6	XM_065413017.1#NME6
LOC135889434	XM_065417310.1#LOC135889434
LOC135892260	XM_065419963.1#LOC135892260
ARSA	XM_065418560.1#ARSA
SHANK3	XM_065411947.1#SHANK3
MAPK8IP2	XM_065423238.1#MAPK8IP2
CHKB	XM_065420775.1#CHKB
CPT1B	XM_065401395.1#CPT1B
LOC135892618	XM_065420419.1#LOC135892618
LOC135895731	XM_065423878.1#LOC135895731
LOC135872979	XM_065397438.1#LOC135872979
LOC135895732	XM_065423879.1#LOC135895732
LOC135872986	XM_065397443.1#LOC135872986
LOC135895612	XM_065423752.1#LOC135895612
LOC135895531	XM_065423648.1#LOC135895531
LOC135892967	XM_065420753.1#LOC135892967
LOC135892960	XM_065420743.1#LOC135892960
LOC135895641	XM_065423781.1#LOC135895641
LOC135895693	XM_065423840.1#LOC135895693
LOC135895733	XM_065423880.1#LOC135895733
LOC135895692	XM_065423838.1#LOC135895692
LOC135893146	XM_065420940.1#LOC135893146
LOC135895592	XM_065423731.1#LOC135895592
LOC135889171	XM_065416996.1#LOC135889171
LOC135889171	XM_065416987.1#LOC135889171
LOC135895440	XM_065423551.1#LOC135895440
LOC135878339	XM_065403975.1#LOC135878339
LOC135878312	XM_065403945.1#LOC135878312
LOC135878323	XM_065403965.1#LOC135878323
LOC135878323	XM_065403956.1#LOC135878323
LOC135878350	XM_065403987.1#LOC135878350
LOC135872996	XM_065397452.1#LOC135872996
GARIN1A	XM_065397457.1#GARIN1A
IMPDH1	XM_065405809.1#IMPDH1
IMPDH1	XM_065405794.1#IMPDH1
IMPDH1	XM_065405802.1#IMPDH1
LOC135893876	XM_065421836.1#LOC135893876
LOC135893930	XM_065421900.1#LOC135893930
PRRT4	XM_065398850.1#PRRT4
LOC135895503	XM_065423612.1#LOC135895503
RBM28	XM_065422183.1#RBM28
LEP	XM_065423623.1#LEP
SND1	XM_065422299.1#SND1
LRRC4	XM_065423345.1#LRRC4
FSCN3	XM_065422426.1#FSCN3
ARF5	XM_065404113.1#ARF5
GCC1	XM_065412510.1#GCC1
LOC135894379	XM_065422443.1#LOC135894379
DENND6B	XM_065413439.1#DENND6B
PPP6R2	XM_065397506.1#PPP6R2
SBF1	XM_065423346.1#SBF1
ADM2	XM_065397530.1#ADM2
MIOX	XM_065422668.1#MIOX
LMF2	XM_065407749.1#LMF2
NCAPH2	XM_065416853.1#NCAPH2
LOC135891366	XM_065418917.1#LOC135891366
TYMP	XM_065423335.1#TYMP
LOC135891805	XM_065419474.1#LOC135891805
LOC135891738	XM_065419384.1#LOC135891738
LOC135891986	XM_065419669.1#LOC135891986
LOC135890357	XM_065417740.1#LOC135890357
LOC135891608	XM_065419221.1#LOC135891608
LOC135890224	XM_065417570.1#LOC135890224
LOC135885515	XM_065413252.1#LOC135885515
CIMAP1B	XM_065423646.1#CIMAP1B
LOC135878861	XM_065404581.1#LOC135878861
LOC135895634	XM_065423774.1#LOC135895634
LOC135895602	XM_065423742.1#LOC135895602
LOC135895439	XM_065423550.1#LOC135895439
LOC135883234	XM_065410249.1#LOC135883234
LOC135894912	XM_065422973.1#LOC135894912
LOC135882938	XM_065409968.1#LOC135882938
LOC135885046	XM_065412688.1#LOC135885046
TNPO3	XM_065400273.1#TNPO3
IRF5	XM_065416247.1#IRF5
LOC135876110	XM_065401293.1#LOC135876110
LOC135876110	XM_065401300.1#LOC135876110
CALU	XM_065401312.1#CALU
OPN1SW	XM_065405728.1#OPN1SW
CCDC136	XM_065423106.1#CCDC136
FLNC	XM_065402984.1#FLNC
FLNC	XM_065403011.1#FLNC
FLNC	XM_065402993.1#FLNC
FLNC	XM_065403002.1#FLNC
ATP6V1F	XM_065403033.1#ATP6V1F
SPMIP1	XM_065401119.1#SPMIP1
KCP	XM_065423222.1#KCP
TSPAN33	XM_065423798.1#TSPAN33
SMO	XM_065423736.1#SMO
AHCYL2	XM_065402821.1#AHCYL2
STRIP2	XM_065417329.1#STRIP2
SMKR1	XM_065397581.1#SMKR1
NRF1	XM_065406342.1#NRF1
UBE2H	XM_065404473.1#UBE2H
ZC3HC1	XM_065416842.1#ZC3HC1
KLHDC10	XM_065417651.1#KLHDC10
LOC135895710	XM_065423856.1#LOC135895710
TMEM209	XM_065417696.1#TMEM209
LOC135882596	XM_065409555.1#LOC135882596
LOC135873054	XM_065397529.1#LOC135873054
LOC135873053	XM_065397528.1#LOC135873053
CEP41	XM_065423362.1#CEP41
MEST	XM_065423820.1#MEST
COPG2	XM_065423819.1#COPG2
FBH1	XM_065399092.1#FBH1
ANKRD16	XM_065423155.1#ANKRD16
GDI2	XM_065400214.1#GDI2
TASOR2	XM_065423312.1#TASOR2
ASB13	XM_065411589.1#ASB13
ASB13	XM_065411597.1#ASB13
LOC135879531	XM_065405550.1#LOC135879531
NET1	XM_065409893.1#NET1
LOC135878158	XM_065403753.1#LOC135878158
LOC135878158	XM_065403746.1#LOC135878158
LOC135879368	XM_065405343.1#LOC135879368
LOC135879368	XM_065405336.1#LOC135879368
LOC135879436	XM_065405416.1#LOC135879436
LOC135884887	XM_065412460.1#LOC135884887
UCN3	XM_065401980.1#UCN3
SLC35B4	XM_065423212.1#SLC35B4
LRGUK	XM_065423322.1#LRGUK
EXOC4	XM_065409076.1#EXOC4
CHCHD3	XM_065414026.1#CHCHD3
CHCHD3	XM_065414031.1#CHCHD3
PLXNA4	XM_065423507.1#PLXNA4
PLXNA4	XM_065423506.1#PLXNA4
PLXNA4	XM_065423509.1#PLXNA4
LOC135889900	XM_065417477.1#LOC135889900
PODXL	XM_065399547.1#PODXL
MKLN1	XM_065416326.1#MKLN1
LOC135875043	XM_065400028.1#LOC135875043
IL2RA	XM_065397470.1#IL2RA
RBM17	XM_065411990.1#RBM17
PFKFB3	XM_065422318.1#PFKFB3
PFKFB3	XM_065422311.1#PFKFB3
PRKCQ	XM_065401867.1#PRKCQ
SFMBT2	XM_065400494.1#SFMBT2
LOC135895425	XM_065423537.1#LOC135895425
ITIH5	XM_065415248.1#ITIH5
ITIH2	XM_065419451.1#ITIH2
KIN	XM_065414048.1#KIN
KIN	XM_065414045.1#KIN
ATP5F1C	XM_065409852.1#ATP5F1C
ATP5F1C	XM_065409859.1#ATP5F1C
TAF3	XM_065411969.1#TAF3
GATA3	XM_065401608.1#GATA3
GATA3	XM_065401625.1#GATA3
GATA3	XM_065401616.1#GATA3
GATA3	XM_065401634.1#GATA3
GATA3	XM_065401642.1#GATA3
CELF2	XM_065419232.1#CELF2
CELF2	XM_065419240.1#CELF2
CELF2	XM_065419247.1#CELF2
USP6NL	XM_065417211.1#USP6NL
ECHDC3	XM_065423756.1#ECHDC3
PROSER2	XM_065397460.1#PROSER2
UPF2	XM_065404731.1#UPF2
DHTKD1	XM_065397519.1#DHTKD1
SEC61A2	XM_065407189.1#SEC61A2
SEC61A2	XM_065407197.1#SEC61A2
SEC61A2	XM_065407181.1#SEC61A2
NUDT5	XM_065413891.1#NUDT5
CDC123	XM_065415259.1#CDC123
CAMK1D	XM_065416138.1#CAMK1D
CCDC3	XM_065397456.1#CCDC3
OPTN	XM_065406364.1#OPTN
MCM10	XM_065421777.1#MCM10
UCMA	XM_065397459.1#UCMA
PHYH	XM_065405180.1#PHYH
SEPHS1	XM_065402574.1#SEPHS1
SEPHS1	XM_065402567.1#SEPHS1
BEND7	XM_065413151.1#BEND7
PRPF18	XM_065402189.1#PRPF18
PRPF18	XM_065402197.1#PRPF18
FRMD4A	XM_065413790.1#FRMD4A
FAM107B	XM_065423510.1#FAM107B
CDNF	XM_065423498.1#CDNF
HSPA14	XM_065417474.1#HSPA14
SUV39H2	XM_065422037.1#SUV39H2
SUV39H2	XM_065422028.1#SUV39H2
DCLRE1C	XM_065416118.1#DCLRE1C
MEIG1	XM_065397449.1#MEIG1
TMEM243	XM_065418862.1#TMEM243
DMTF1	XM_065418053.1#DMTF1
ELAPOR2	XM_065414384.1#ELAPOR2
GRM3	XM_065401925.1#GRM3
GRM3	XM_065401933.1#GRM3
LOC135895122	XM_065423193.1#LOC135895122
SEMA3A	XM_065423447.1#SEMA3A
LOC135895444	XM_065423556.1#LOC135895444
SEMA3E	XM_065404326.1#SEMA3E
PCLO	XM_065409113.1#PCLO
CACNA2D1	XM_065420204.1#CACNA2D1
CACNA2D1	XM_065420229.1#CACNA2D1
CACNA2D1	XM_065420221.1#CACNA2D1
