LOC137140791	XM_067540365.1#LOC137140791
LOC137160415	XM_067562778.1#LOC137160415
LOC137152927	XM_067551564.1#LOC137152927
CPT1B	XM_067539196.1#CPT1B
CPT1B	XM_067538382.1#CPT1B
CPT1B	XM_067537634.1#CPT1B
CPT1B	XM_067533098.1#CPT1B
CHKB	XM_067544588.1#CHKB
CHKB	XM_067545340.1#CHKB
MAPK8IP2	XM_067546408.1#MAPK8IP2
SHANK3	XM_067548257.1#SHANK3
SHANK3	XM_067547515.1#SHANK3
ARSA	XM_067550779.1#ARSA
ARSA	XM_067550028.1#ARSA
LOC137163091	XM_067563529.1#LOC137163091
LOC137148852	XM_067542369.1#LOC137148852
RABL2B	XM_067554184.1#RABL2B
RABL2B	XM_067553446.1#RABL2B
RABL2B	XM_067551958.1#RABL2B
RABL2B	XM_067554933.1#RABL2B
RABL2B	XM_067552698.1#RABL2B
NME6	XM_067556088.1#NME6
NME6	XM_067556798.1#NME6
LOC137149592	XM_067543471.1#LOC137149592
HCLS1	XM_067557989.1#HCLS1
HCLS1	XM_067558614.1#HCLS1
GOLGB1	XM_067560561.1#GOLGB1
GOLGB1	XM_067559778.1#GOLGB1
GOLGB1	XM_067561336.1#GOLGB1
LOC137162340	XM_067562452.1#LOC137162340
LOC137165309	XM_067566882.1#LOC137165309
LOC137166077	XM_067568000.1#LOC137166077
PPM1L	XM_067543622.1#PPM1L
B3GALNT1	XM_067543721.1#B3GALNT1
B3GALNT1	XM_067543798.1#B3GALNT1
ARL14	XM_067569036.1#ARL14
KPNA4	XM_067544037.1#KPNA4
TRIM59	XM_067544728.1#TRIM59
TRIM59	XM_067544814.1#TRIM59
SMC4	XM_067544161.1#SMC4
SMC4	XM_067544240.1#SMC4
IFT80	XM_067544430.1#IFT80
IFT80	XM_067544366.1#IFT80
IFT80	XM_067544558.1#IFT80
IFT80	XM_067544634.1#IFT80
IFT80	XM_067544486.1#IFT80
CUNH3orf80	XM_067529424.1#CUNH3orf80
LOC137150893	XM_067544980.1#LOC137150893
IL12A	XM_067531252.1#IL12A
SCHIP1	XM_067545105.1#SCHIP1
SCHIP1	XM_067545282.1#SCHIP1
SCHIP1	XM_067545193.1#SCHIP1
SCHIP1	XM_067545420.1#SCHIP1
SCHIP1	XM_067545511.1#SCHIP1
SCHIP1	XM_067545341.1#SCHIP1
IQCJ	XM_067543069.1#IQCJ
MFSD1	XM_067545764.1#MFSD1
MFSD1	XM_067545700.1#MFSD1
MFSD1	XM_067545682.1#MFSD1
MFSD1	XM_067545819.1#MFSD1
RARRES1	XM_067545928.1#RARRES1
GFM1	XM_067546138.1#GFM1
LXN	XM_067546265.1#LXN
MLF1	XM_067546433.1#MLF1
MLF1	XM_067546485.1#MLF1
RSRC1	XM_067532335.1#RSRC1
SHOX2	XM_067533463.1#SHOX2
SHOX2	XM_067534246.1#SHOX2
LOC137152063	XM_067546677.1#LOC137152063
LOC137152063	XM_067546597.1#LOC137152063
VEPH1	XM_067547126.1#VEPH1
PTX3	XM_067536063.1#PTX3
CCNL1	XM_067547896.1#CCNL1
LEKR1	XM_067548018.1#LEKR1
LEKR1	XM_067548108.1#LEKR1
TIPARP	XM_067548299.1#TIPARP
TIPARP	XM_067548212.1#TIPARP
SSR3	XM_067548852.1#SSR3
KCNAB1	XM_067548405.1#KCNAB1
KCNAB1	XM_067548487.1#KCNAB1
KCNAB1	XM_067548571.1#KCNAB1
LOC137149613	XM_067543176.1#LOC137149613
GMPS	XM_067548984.1#GMPS
SLC33A1	XM_067549103.1#SLC33A1
CUNH3orf33	XM_067549235.1#CUNH3orf33
CUNH3orf33	XM_067549316.1#CUNH3orf33
PLCH1	XM_067537397.1#PLCH1
STRIT1	XM_067549451.1#STRIT1
MME	XM_067549690.1#MME
