LOC118105716	XM_047340729.1#LOC118105716
LOC124852240	XM_047340722.1#LOC124852240
c1qtnf4	XM_035153730.2#c1qtnf4
ndufs3	XM_035163835.2#ndufs3
ptpmt1	XM_035159374.2#ptpmt1
prc1b	XM_035159336.2#prc1b
prc1b	XM_035159349.2#prc1b
prc1b	XM_035159358.2#prc1b
prc1b	XM_035159345.2#prc1b
vps33b	XM_035180828.2#vps33b
hddc3	XM_035181414.2#hddc3
hddc3	XM_035181252.2#hddc3
hddc3	XM_035181326.2#hddc3
mfap1	XM_035181136.2#mfap1
hypk	XM_035181533.2#hypk
serinc4	XM_035180944.1#serinc4
serinc4	XM_035181025.1#serinc4
adamtsl5	XM_035180461.2#adamtsl5
adamtsl5	XM_035180116.2#adamtsl5
adamtsl5	XM_035180554.2#adamtsl5
adamtsl5	XM_035180711.2#adamtsl5
adamtsl5	XM_035180204.2#adamtsl5
adamtsl5	XM_035180638.2#adamtsl5
adamtsl5	XM_035180288.2#adamtsl5
crtc3	XM_035152277.2#crtc3
crtc3	XM_035152284.2#crtc3
LOC124852238	XM_047340715.1#LOC124852238
cartl	XM_035158801.2#cartl
LOC118109989	XM_035157494.2#LOC118109989
LOC118105441	XM_035153253.1#LOC118105441
LOC118105441	XM_035153246.1#LOC118105441
tubgcp4	XM_035153230.2#tubgcp4
tp53bp1	XM_035153147.2#tp53bp1
tp53bp1	XM_047339566.1#tp53bp1
tp53bp1	XM_047339567.1#tp53bp1
tp53bp1	XM_035153172.2#tp53bp1
tp53bp1	XM_035153214.2#tp53bp1
tp53bp1	XM_035153181.2#tp53bp1
tp53bp1	XM_035153199.2#tp53bp1
map1aa	XM_035164453.2#map1aa
map1aa	XM_035164461.2#map1aa
ppip5k1a	XM_035149841.1#ppip5k1a
ppip5k1a	XM_035149758.1#ppip5k1a
ppip5k1a	XM_035149578.1#ppip5k1a
ppip5k1a	XM_035149726.1#ppip5k1a
ppip5k1a	XM_035149500.1#ppip5k1a
ppip5k1a	XM_035149647.1#ppip5k1a
LOC118106468	XM_035155043.2#LOC118106468
LOC118106478	XM_035155054.2#LOC118106478
LOC118106478	XM_035155065.2#LOC118106478
LOC118106485	XM_035155078.2#LOC118106485
ctsd	XM_035155857.2#ctsd
cdhr5a	XM_035155844.2#cdhr5a
drd4b	XM_035156178.2#drd4b
sirt3	XM_035155719.2#sirt3
sirt3	XM_035155718.2#sirt3
sirt3	XM_035155721.2#sirt3
sirt3	XM_035155720.2#sirt3
sirt3	XM_035155722.2#sirt3
psmd13	XM_035155717.2#psmd13
jph3a	XM_035157293.2#jph3a
LOC118109865	XM_035157306.2#LOC118109865
LOC118109894	XM_035157362.1#LOC118109894
LOC118109894	XM_035157353.1#LOC118109894
LOC118109894	XM_035157369.1#LOC118109894
kiaa0895l	XM_035157317.2#kiaa0895l
kiaa0895l	XM_047339684.1#kiaa0895l
kiaa0895l	XM_047339685.1#kiaa0895l
kiaa0895l	XM_047339683.1#kiaa0895l
kiaa0895l	XM_047339687.1#kiaa0895l
LOC118109888	XM_035157340.2#LOC118109888
LOC118109888	XM_047341031.1#LOC118109888
LOC118108747	XM_047340079.1#LOC118108747
nqo1	XM_035164426.2#nqo1
LOC118111111	XM_035159451.2#LOC118111111
LOC118111119	XM_035159464.2#LOC118111119
kcng4b	XM_035159439.2#kcng4b
rpl12	XM_035158751.2#rpl12
rpl12	XM_035158760.2#rpl12
pole3	XM_035158773.2#pole3
kmt5b	XM_035154468.2#kmt5b
kmt5b	XM_035154444.2#kmt5b
kmt5b	XM_035154460.2#kmt5b
kmt5b	XM_035154450.2#kmt5b
kmt5b	XM_035154434.2#kmt5b
ccnb2	XM_035154482.2#ccnb2
LOC118111843	XM_035160574.2#LOC118111843
LOC118114257	XM_035164603.2#LOC118114257
LOC118114257	XM_035164619.2#LOC118114257
LOC118114257	XM_035164611.2#LOC118114257
LOC118107918	XM_035155690.2#LOC118107918
herc1	XM_047340080.1#herc1
dapk2a	XM_035155684.2#dapk2a
sh2d7	XM_047340081.1#sh2d7
rab11a	XM_035155693.2#rab11a
LOC118107642	XM_035155668.2#LOC118107642
LOC118107642	XM_035155667.2#LOC118107642
LOC118107642	XM_035155666.2#LOC118107642
dis3l	XM_047340003.1#dis3l
tipin	XM_035155692.2#tipin
tipin	XM_035155691.2#tipin
lctla	XM_035155677.2#lctla
crybgx	XM_047340072.1#crybgx
cars1	XM_035155669.2#cars1
cars1	XM_035155672.2#cars1
cars1	XM_035155671.2#cars1
pex16	XM_035155688.2#pex16
pex16	XM_035155689.2#pex16
arfgap2	XM_035155676.2#arfgap2
arfgap2	XM_035155675.2#arfgap2
LOC118107714	XM_035155674.2#LOC118107714
LOC118107714	XM_035155673.2#LOC118107714
LOC118107876	XM_047340047.1#LOC118107876
ppfia1	XM_035155648.2#ppfia1
ppfia1	XM_035155650.2#ppfia1
ppfia1	XM_035155647.2#ppfia1
ppfia1	XM_035155654.2#ppfia1
ppfia1	XM_035155659.2#ppfia1
ppfia1	XM_035155653.2#ppfia1
ppfia1	XM_035155652.2#ppfia1
ppfia1	XM_035155656.2#ppfia1
ppfia1	XM_035155662.2#ppfia1
ppfia1	XM_035155661.2#ppfia1
ppfia1	XM_035155655.2#ppfia1
ppfia1	XM_035155651.2#ppfia1
ppfia1	XM_035155665.2#ppfia1
ppfia1	XM_035155658.2#ppfia1
ppfia1	XM_035155664.2#ppfia1
ppfia1	XM_035155663.2#ppfia1
ppfia1	XM_047339998.1#ppfia1
ppfia1	XM_035155657.2#ppfia1
LOC118107782	XM_035155678.2#LOC118107782
LOC118107782	XM_035155683.2#LOC118107782
LOC118107782	XM_035155681.2#LOC118107782
LOC118107782	XM_047340039.1#LOC118107782
LOC118108008	XM_047340084.1#LOC118108008
LOC118125364	XM_035184145.2#LOC118125364
LOC118125364	XM_035184052.2#LOC118125364
LOC118125364	XM_035184232.2#LOC118125364
LOC118125364	XM_035183967.2#LOC118125364
LOC118125364	XM_035183878.2#LOC118125364
LOC118100518	XM_035145766.2#LOC118100518
guca1g	XM_035146017.2#guca1g
LOC118101685	XM_035147670.2#LOC118101685
LOC118100108	XM_035144893.2#LOC118100108
LOC118125927	XM_035185052.2#LOC118125927
LOC118108778	XM_047342881.1#LOC118108778
LOC118098764	XM_035142916.2#LOC118098764
LOC118098764	XM_035143165.2#LOC118098764
LOC118098764	XM_047343575.1#LOC118098764
LOC118098764	XM_035143085.2#LOC118098764
LOC118098764	XM_035143249.2#LOC118098764
LOC118098764	XM_047343595.1#LOC118098764
LOC118098764	XM_047343545.1#LOC118098764
LOC118098764	XM_047343621.1#LOC118098764
LOC118098764	XM_047343529.1#LOC118098764
LOC118098494	XM_035142407.2#LOC118098494
LOC118099650	XM_035144388.2#LOC118099650
si:ch211-71n6.4	XM_035143929.2#si:ch211-71n6.4
si:ch211-71n6.4	XM_035144016.2#si:ch211-71n6.4
LOC118101907	XM_047338498.1#LOC118101907
vps13c	XM_035184628.2#vps13c
vps13c	XM_035184535.2#vps13c
vps13c	XM_035184714.2#vps13c
vps13c	XM_047342626.1#vps13c
vps13c	XM_035184447.2#vps13c
vps13c	XM_035184358.2#vps13c
LOC118101529	XM_035147447.1#LOC118101529
LOC118101767	XM_035147782.2#LOC118101767
galr1b	XM_035155758.2#galr1b
LOC118101842	XM_047338485.1#LOC118101842
tppp3	XM_035146137.2#tppp3
tppp3	XM_035146563.2#tppp3
tppp3	XM_035146402.2#tppp3
tppp3	XM_047337960.1#tppp3
tppp3	XM_035146224.2#tppp3
tppp3	XM_047337983.1#tppp3
tppp3	XM_035146481.2#tppp3
zdhhc1	XM_035144279.2#zdhhc1
zdhhc1	XM_035144134.2#zdhhc1
hsd11b2	XM_035144800.2#hsd11b2
LOC118100577	XM_035145896.2#LOC118100577
LOC118100217	XM_035145107.1#LOC118100217
LOC118100350	XM_035145368.2#LOC118100350
plekhg4	XM_035184846.2#plekhg4
plekhg4	XM_035184929.2#plekhg4
plekhg4	XM_047342831.1#plekhg4
slc9a5	XM_035142670.2#slc9a5
fhod1	XM_035185166.2#fhod1
cebpg	XM_035145641.2#cebpg
cebpa	XM_035147328.2#cebpa
gpatch1	XM_035147556.2#gpatch1
gpatch1	XM_047338376.1#gpatch1
LOC124851923	XM_047340112.1#LOC124851923
LOC124851925	XM_047340113.1#LOC124851925
LOC124851927	XM_047340114.1#LOC124851927
LOC118098689	XM_047340115.1#LOC118098689
wdr59	XM_047343424.1#wdr59
wdr59	XM_047343416.1#wdr59
nob1	XM_035144584.2#nob1
nob1	XM_035144731.2#nob1
nob1	XM_035144650.2#nob1
cog8	XM_035143797.2#cog8
katnb1	XM_035143493.2#katnb1
katnb1	XM_035143408.2#katnb1
katnb1	XM_035143670.2#katnb1
katnb1	XM_035143585.2#katnb1
kifc3	XM_047343315.1#kifc3
kifc3	XM_047343331.1#kifc3
kifc3	XM_047343266.1#kifc3
kifc3	XM_047343216.1#kifc3
kifc3	XM_047343184.1#kifc3
kifc3	XM_047343286.1#kifc3
kifc3	XM_047343241.1#kifc3
kifc3	XM_047343162.1#kifc3
kifc3	XM_047343303.1#kifc3
cngb1a	XM_035161398.2#cngb1a
cngb1a	XM_035161390.2#cngb1a
cngb1a	XM_035161406.2#cngb1a
LOC118112254	XM_035161418.2#LOC118112254
LOC118106074	XM_035154239.2#LOC118106074
gtf2a2	XM_035154327.2#gtf2a2
gtf2a2	XM_035154343.2#gtf2a2
gtf2a2	XM_035154352.2#gtf2a2
